样本编号,年级,专业类别,月可支配生活费,半年短途出行次数,目的地类型,同行人,单次出行预算,预算占比最大项,提前规划时间,信息获取渠道,遇到的困扰(多选),最严重的困扰,是否用过行程规划工具,对工具不满意的地方,最希望的功能(多选),最愿意付费的功能,倾向的使用形式,偏好的内容风格,其他未满足需求,是否愿意参与访谈(留微信),答题时长(秒),提交时间
S065,大三,理工类,1000-1500元,3-4次,城市人文、美食探店,男/女朋友,401-600元,交通,提前1-2天,朋友推荐、小红书、抖音,攻略信息太分散，多APP切换、缺少学生视角的预算参考,攻略质量参差不齐，广告多,偶尔使用,不能按预算调整,按预算推荐目的地和行程、交通接驳指南、住宿区域推荐,都不愿意付费,微信小程序,简洁高效(直接给结论),希望能有大学生优惠门票的汇总信息,,223,2026-09-04 18:33:10
S066,大三,经管类,1000-1500元,1-2次,城市人文,室友/同学(2-3人),201-400元,住宿,说走就走,知乎、朋友推荐,没有现成行程模板、攻略质量参差不齐，广告多、攻略信息太分散，多APP切换、缺少学生视角的预算参考、一人出行难拼车/找搭子,缺少学生视角的预算参考,听说过但没用过,,小众目的地种草、出行搭子匹配、当地美食红黑榜,都不愿意付费,微信小程序,简洁高效(直接给结论),,,125,2026-09-07 14:18:47
S067,大三,文史哲类,1501-2000元,1-2次,自然风景、周边乡村/古镇,室友/同学(2-3人),1000元以上,交通,提前2周以上,OTA平台(携程/马蜂窝),一人出行难拼车/找搭子、没有现成行程模板,交通接驳信息不清晰,听说过但没用过,,行程共享与协同编辑、按预算推荐目的地和行程、出行搭子匹配,都不愿意付费,微信小程序,真实接地气(学长学姐经验),行李寄存的点能不能标注出来,,263,2026-09-07 21:24:04
S068,大三,艺术类,1501-2000元,3-4次,自然风景、城市人文、高校校园参观,男/女朋友,801-1000元,餐饮,提前2周以上,朋友推荐,攻略信息太分散，多APP切换、交通接驳信息不清晰、没有现成行程模板,没有现成行程模板,完全没听说过,,旅行记账与AA分摊、小众目的地种草、按预算推荐目的地和行程、现成学生党行程模板,都不愿意付费,独立APP,简洁高效(直接给结论),希望能和同校的人组队出行,,180,2026-09-08 21:43:37
S069,大三,经管类,3000元以上,3-4次,自然风景、高校校园参观,室友/同学(2-3人),1000元以上,交通,提前1-2天,朋友推荐、大众点评,没有现成行程模板、小众目的地信息太少、缺少学生视角的预算参考,攻略质量参差不齐，广告多,完全没听说过,,按预算推荐目的地和行程、现成学生党行程模板,无广告纯净体验,网页版,专业严谨数据详实,,,221,2026-09-03 14:35:27
S070,研二及以上,理工类,1501-2000元,1-2次,美食探店、自然风景、周边乡村/古镇,男/女朋友,401-600元,住宿,说走就走,小红书,没有现成行程模板、住宿选择困难,没有现成行程模板,听说过但没用过,,小众目的地种草、现成学生党行程模板、行程共享与协同编辑,都不愿意付费,小红书/抖音账号+社群,简洁高效(直接给结论),能不能有毕业旅行的专题,,169,2026-09-06 22:29:39
S071,大一,医学类,2501-3000元,7次及以上,城市人文,室友/同学(2-3人),401-600元,餐饮,提前3-7天,大众点评,攻略质量参差不齐，广告多、交通接驳信息不清晰、其他,没有现成行程模板,偶尔使用,操作太复杂,当地美食红黑榜、行程共享与协同编辑、实时避坑提醒、小众目的地种草、现成学生党行程模板,AI高级行程定制,独立APP,图文精美,音乐节+旅行的组合攻略想要,,186,2026-09-08 16:10:05
S072,大三,教育类,1000-1500元,0次,,,,,,,没有现成行程模板、攻略质量参差不齐，广告多,交通接驳信息不清晰,完全没听说过,,交通接驳指南、现成学生党行程模板,都不愿意付费,都可以,简洁高效(直接给结论),,,192,2026-09-09 12:27:06
S073,大四,艺术类,1000-1500元,5-6次,自然风景,室友/同学(2-3人),601-800元,住宿,提前2周以上,小红书,住宿选择困难、交通接驳信息不清晰、缺少学生视角的预算参考,交通接驳信息不清晰,听说过但没用过,,交通接驳指南、小众目的地种草,都不愿意付费,微信小程序,专业严谨数据详实,,,148,2026-09-09 19:52:06
S074,大一,教育类,1501-2000元,1-2次,网红打卡点、城市人文,男/女朋友,401-600元,餐饮,提前1-2周,抖音、小红书、OTA平台(携程/马蜂窝),缺少学生视角的预算参考、攻略信息太分散，多APP切换、住宿选择困难、小众目的地信息太少,交通接驳信息不清晰,完全没听说过,,小众目的地种草、交通接驳指南、行程共享与协同编辑,都不愿意付费,微信小程序,专业严谨数据详实,小众景点的交通真的很头疼,,283,2026-09-09 15:13:27
S075,大四,文史哲类,1501-2000元,1-2次,美食探店、主题乐园,室友/同学(2-3人),601-800元,交通,提前1-2天,小红书、B站,没有现成行程模板、攻略信息太分散，多APP切换、一人出行难拼车/找搭子,攻略质量参差不齐，广告多,完全没听说过,,实时避坑提醒、现成学生党行程模板,都不愿意付费,微信小程序,简洁高效(直接给结论),希望能有大学生优惠门票的汇总信息,,311,2026-09-03 09:25:40
S076,大二,医学类,1000-1500元,3-4次,城市人文,朋友小团体(4人以上),401-600元,住宿,说走就走,朋友推荐、其他,交通接驳信息不清晰、没有现成行程模板、攻略质量参差不齐，广告多、攻略信息太分散，多APP切换、住宿选择困难,攻略信息太分散，多APP切换,听说过但没用过,,按预算推荐目的地和行程、住宿区域推荐,其他,微信小程序,简洁高效(直接给结论),,,122,2026-09-08 14:46:13
S077,大三,经管类,1501-2000元,3-4次,城市人文,室友/同学(2-3人),801-1000元,餐饮,提前1-2天,抖音、小红书,交通接驳信息不清晰、攻略质量参差不齐，广告多、小众目的地信息太少,攻略质量参差不齐，广告多,完全没听说过,,行程共享与协同编辑、当地美食红黑榜,AI高级行程定制,独立APP,简洁高效(直接给结论),能不能有毕业旅行的专题,,93,2026-09-04 16:24:07
S078,大二,艺术类,1000元以下,5-6次,其他,家人,200元以下,门票/体验项目,提前3-7天,大众点评、小红书,一人出行难拼车/找搭子、小众目的地信息太少、攻略信息太分散，多APP切换、攻略质量参差不齐，广告多,攻略信息太分散，多APP切换,经常使用,不能按预算调整、交通时间不准,小众目的地种草、现成学生党行程模板、当地美食红黑榜、交通接驳指南、按预算推荐目的地和行程,无广告纯净体验,微信小程序,专业严谨数据详实,希望能看到实时的景区人流量,,180,2026-09-10 19:48:53
S079,大三,艺术类,1501-2000元,3-4次,城市人文,独自一人,401-600元,住宿,提前3-7天,OTA平台(携程/马蜂窝),攻略信息太分散，多APP切换、小众目的地信息太少,攻略信息太分散，多APP切换,完全没听说过,,按预算推荐目的地和行程、出行搭子匹配、现成学生党行程模板,都不愿意付费,小红书/抖音账号+社群,真实接地气(学长学姐经验),,,96,2026-09-05 20:36:40
S080,大一,文史哲类,1501-2000元,3-4次,城市人文、周边乡村/古镇,男/女朋友,601-800元,交通,提前1-2周,小红书,攻略质量参差不齐，广告多、没有现成行程模板,缺少学生视角的预算参考,偶尔使用,不能按预算调整,现成学生党行程模板、实时避坑提醒、行程共享与协同编辑,都不愿意付费,微信小程序,图文精美,,,285,2026-09-09 09:25:04
S081,研一,旅游/酒店管理类,2001-2500元,3-4次,美食探店,独自一人,401-600元,餐饮,提前3-7天,小红书、抖音、其他,小众目的地信息太少、没有现成行程模板、住宿选择困难,攻略信息太分散，多APP切换,完全没听说过,,现成学生党行程模板、小众目的地种草,都不愿意付费,网页版,专业严谨数据详实,,,176,2026-09-05 10:13:33
S082,研二及以上,理工类,3000元以上,7次及以上,美食探店,独自一人,1000元以上,门票/体验项目,提前3-7天,B站、抖音、朋友推荐,没有现成行程模板、交通接驳信息不清晰,缺少学生视角的预算参考,偶尔使用,不能按预算调整,现成学生党行程模板,都不愿意付费,小红书/抖音账号+社群,图文精美,希望能有旅行vlog的模板,,139,2026-09-02 12:08:49
S083,大四,经管类,1000-1500元,3-4次,自然风景、主题乐园,家人,201-400元,交通,提前1-2天,小红书,住宿选择困难、交通接驳信息不清晰、攻略信息太分散，多APP切换,缺少学生视角的预算参考,偶尔使用,其他,小众目的地种草、当地美食红黑榜、现成学生党行程模板、其他、按预算推荐目的地和行程,都不愿意付费,独立APP,图文精美,,愿意-wx_d2ec2iho,255,2026-09-02 18:37:16
S084,研一,经管类,3000元以上,1-2次,自然风景、城市人文、网红打卡点,男/女朋友,601-800元,交通,提前3-7天,B站,住宿选择困难、缺少学生视角的预算参考、攻略信息太分散，多APP切换、交通接驳信息不清晰、攻略质量参差不齐，广告多,攻略质量参差不齐，广告多,偶尔使用,不能按预算调整、操作太复杂,当地美食红黑榜、交通接驳指南、实时避坑提醒,AI高级行程定制,微信小程序,简洁高效(直接给结论),音乐节+旅行的组合攻略想要,,306,2026-09-09 12:40:51
S085,大三,经管类,1501-2000元,3-4次,主题乐园,家人,601-800元,住宿,提前1-2天,大众点评、小红书,攻略信息太分散，多APP切换、其他、没有现成行程模板、小众目的地信息太少,其他,完全没听说过,,现成学生党行程模板,都不愿意付费,小红书/抖音账号+社群,图文精美,希望能和同校的人组队出行,,284,2026-09-07 14:59:53
S086,研二及以上,经管类,1000-1500元,1-2次,美食探店、网红打卡点、城市人文,男/女朋友,801-1000元,餐饮,提前3-7天,微博,没有现成行程模板、攻略质量参差不齐，广告多、攻略信息太分散，多APP切换、交通接驳信息不清晰,攻略信息太分散，多APP切换,听说过但没用过,,实时避坑提醒、按预算推荐目的地和行程、当地美食红黑榜,都不愿意付费,网页版,真实接地气(学长学姐经验),,愿意-wx_zfdsnczx,230,2026-09-02 14:19:20
S087,大一,经管类,3000元以上,5-6次,美食探店、城市人文,家人,801-1000元,购物/伴手礼,提前1-2周,OTA平台(携程/马蜂窝),缺少学生视角的预算参考、小众目的地信息太少、攻略质量参差不齐，广告多,攻略信息太分散，多APP切换,经常使用,推荐太商业化、行程模板太少、其他,现成学生党行程模板,都不愿意付费,小红书/抖音账号+社群,图文精美,周末短途游的推荐能不能更精准一些,,116,2026-09-06 20:04:15
S088,大二,理工类,2001-2500元,7次及以上,美食探店、周边乡村/古镇、自然风景,独自一人,401-600元,餐饮,提前1-2天,朋友推荐,缺少学生视角的预算参考、小众目的地信息太少,美食探店容易踩雷,完全没听说过,,实时避坑提醒、小众目的地种草、行程共享与协同编辑、出行搭子匹配,都不愿意付费,小红书/抖音账号+社群,真实接地气(学长学姐经验),希望能有省钱技巧的汇总,愿意-wx_4kl8cgn0,220,2026-09-02 14:38:39
S089,研一,医学类,1501-2000元,3-4次,网红打卡点、城市人文,室友/同学(2-3人),201-400元,餐饮,提前1-2周,大众点评、OTA平台(携程/马蜂窝)、抖音,攻略信息太分散，多APP切换、没有现成行程模板,小众目的地信息太少,偶尔使用,操作太复杂,现成学生党行程模板、按预算推荐目的地和行程,都不愿意付费,微信小程序,简洁高效(直接给结论),希望能有夜生活安全的提示,,147,2026-09-02 19:34:24
S090,大二,旅游/酒店管理类,1501-2000元,3-4次,主题乐园、自然风景,男/女朋友,601-800元,交通,提前3-7天,小红书,住宿选择困难、缺少学生视角的预算参考、小众目的地信息太少、攻略质量参差不齐，广告多,攻略信息太分散，多APP切换,听说过但没用过,,旅行记账与AA分摊、当地美食红黑榜、实时避坑提醒、交通接驳指南、现成学生党行程模板,AI高级行程定制,微信小程序,有趣好玩有梗,,,310,2026-09-09 21:36:43
S091,研二及以上,经管类,3000元以上,3-4次,其他,男/女朋友,401-600元,住宿,提前2周以上,小红书、微博,住宿选择困难、攻略质量参差不齐，广告多、美食探店容易踩雷,美食探店容易踩雷,经常使用,不能按预算调整,交通接驳指南、实时避坑提醒、按预算推荐目的地和行程、当地美食红黑榜,都不愿意付费,小红书/抖音账号+社群,真实接地气(学长学姐经验),希望能看到实时的景区人流量,愿意-wx_v177udkt,168,2026-09-07 13:24:41
S092,大三,艺术类,1000元以下,1-2次,美食探店,男/女朋友,201-400元,住宿,提前1-2周,小红书、朋友推荐、B站,攻略信息太分散，多APP切换、住宿选择困难、缺少学生视角的预算参考,缺少学生视角的预算参考,完全没听说过,,旅行记账与AA分摊、按预算推荐目的地和行程,AI高级行程定制,小红书/抖音账号+社群,图文精美,希望能有旅行vlog的模板,,186,2026-09-10 19:05:12
S093,大三,旅游/酒店管理类,1501-2000元,5-6次,网红打卡点、美食探店,室友/同学(2-3人),401-600元,住宿,提前1-2天,B站、小红书,住宿选择困难、攻略质量参差不齐，广告多、没有现成行程模板,美食探店容易踩雷,听说过但没用过,,小众目的地种草、实时避坑提醒,都不愿意付费,微信小程序,简洁高效(直接给结论),希望能有省钱技巧的汇总,,302,2026-09-08 18:35:22
S094,大二,旅游/酒店管理类,1000-1500元,7次及以上,自然风景,室友/同学(2-3人),201-400元,餐饮,提前2周以上,OTA平台(携程/马蜂窝),缺少学生视角的预算参考、攻略信息太分散，多APP切换,交通接驳信息不清晰,听说过但没用过,,小众目的地种草、按预算推荐目的地和行程,独家小众目的地攻略,网页版,真实接地气(学长学姐经验),景区学生票需要带什么证件能不能说明,,261,2026-09-05 15:57:24
S095,大四,文史哲类,1000-1500元,1-2次,网红打卡点、自然风景、城市人文,朋友小团体(4人以上),401-600元,门票/体验项目,提前3-7天,大众点评、抖音、OTA平台(携程/马蜂窝),攻略信息太分散，多APP切换、一人出行难拼车/找搭子、交通接驳信息不清晰、住宿选择困难、攻略质量参差不齐，广告多,交通接驳信息不清晰,完全没听说过,,按预算推荐目的地和行程、小众目的地种草、现成学生党行程模板,都不愿意付费,网页版,简洁高效(直接给结论),希望能有旅行vlog的模板,,264,2026-09-01 19:31:18
S096,大二,理工类,1501-2000元,0次,,,,,,,缺少学生视角的预算参考、小众目的地信息太少、交通接驳信息不清晰,没有现成行程模板,完全没听说过,,交通接驳指南、行程共享与协同编辑、实时避坑提醒,独家小众目的地攻略,微信小程序,真实接地气(学长学姐经验),行李寄存的点能不能标注出来,,223,2026-09-03 19:57:21
S097,大三,理工类,1000-1500元,5-6次,周边乡村/古镇、自然风景,室友/同学(2-3人),201-400元,门票/体验项目,提前3-7天,大众点评、知乎、小红书,没有现成行程模板、美食探店容易踩雷、缺少学生视角的预算参考,缺少学生视角的预算参考,经常使用,操作太复杂,现成学生党行程模板、旅行记账与AA分摊、实时避坑提醒,其他,微信小程序,有趣好玩有梗,能不能有旅行照片的模板推荐,,204,2026-09-06 19:11:20
S098,大三,经管类,1000-1500元,5-6次,美食探店,室友/同学(2-3人),401-600元,门票/体验项目,提前1-2天,OTA平台(携程/马蜂窝)、抖音,缺少学生视角的预算参考、攻略信息太分散，多APP切换、攻略质量参差不齐，广告多,缺少学生视角的预算参考,听说过但没用过,,按预算推荐目的地和行程、住宿区域推荐,独家小众目的地攻略,网页版,真实接地气(学长学姐经验),周末短途游的推荐能不能更精准一些,,230,2026-09-05 11:04:52
S099,大一,旅游/酒店管理类,1501-2000元,5-6次,自然风景、网红打卡点、其他,室友/同学(2-3人),1000元以上,住宿,提前1-2天,小红书,攻略质量参差不齐，广告多、攻略信息太分散，多APP切换、没有现成行程模板,攻略信息太分散，多APP切换,听说过但没用过,,小众目的地种草、当地美食红黑榜,都不愿意付费,小红书/抖音账号+社群,简洁高效(直接给结论),,,247,2026-09-01 09:44:07
S100,大二,理工类,1501-2000元,3-4次,城市人文,朋友小团体(4人以上),200元以下,住宿,说走就走,小红书、大众点评,没有现成行程模板、交通接驳信息不清晰,攻略质量参差不齐，广告多,完全没听说过,,现成学生党行程模板、交通接驳指南,都不愿意付费,微信小程序,真实接地气(学长学姐经验),希望能有夜生活安全的提示,,256,2026-09-08 14:15:00
S101,大一,经管类,1000-1500元,3-4次,城市人文,朋友小团体(4人以上),401-600元,交通,提前1-2天,抖音,攻略质量参差不齐，广告多、攻略信息太分散，多APP切换、住宿选择困难、美食探店容易踩雷,小众目的地信息太少,听说过但没用过,,小众目的地种草、按预算推荐目的地和行程、行程共享与协同编辑、实时避坑提醒,无广告纯净体验,微信小程序,图文精美,,,192,2026-09-10 13:56:46
S102,大一,教育类,1000-1500元,3-4次,自然风景,男/女朋友,401-600元,餐饮,提前1-2周,小红书,一人出行难拼车/找搭子、住宿选择困难,攻略信息太分散，多APP切换,完全没听说过,,出行搭子匹配、当地美食红黑榜、按预算推荐目的地和行程、现成学生党行程模板,无广告纯净体验,小红书/抖音账号+社群,有趣好玩有梗,高铁票抢票攻略也想要,,204,2026-09-02 15:28:02
S103,大一,艺术类,1000元以下,5-6次,周边乡村/古镇、美食探店、主题乐园,家人,401-600元,住宿,提前3-7天,大众点评、抖音、朋友推荐,缺少学生视角的预算参考、交通接驳信息不清晰、住宿选择困难、没有现成行程模板,一人出行难拼车/找搭子,经常使用,推荐太商业化、不能按预算调整,行程共享与协同编辑、按预算推荐目的地和行程、小众目的地种草、现成学生党行程模板、旅行记账与AA分摊,无广告纯净体验,微信小程序,图文精美,能不能有毕业旅行的专题,,100,2026-09-08 16:51:36
S104,大三,旅游/酒店管理类,1501-2000元,1-2次,周边乡村/古镇、城市人文,室友/同学(2-3人),200元以下,餐饮,提前1-2周,知乎、OTA平台(携程/马蜂窝)、B站,交通接驳信息不清晰、没有现成行程模板、缺少学生视角的预算参考,小众目的地信息太少,完全没听说过,,小众目的地种草、住宿区域推荐、交通接驳指南、当地美食红黑榜,都不愿意付费,微信小程序,图文精美,,,292,2026-09-05 17:33:23
S105,大三,经管类,1000-1500元,1-2次,周边乡村/古镇、自然风景,室友/同学(2-3人),200元以下,门票/体验项目,提前1-2天,OTA平台(携程/马蜂窝),小众目的地信息太少、攻略信息太分散，多APP切换,没有现成行程模板,听说过但没用过,,住宿区域推荐、小众目的地种草,都不愿意付费,都可以,真实接地气(学长学姐经验),希望能有夜生活安全的提示,愿意-wx_0tpv726y,124,2026-09-03 10:24:42
S106,大三,旅游/酒店管理类,1501-2000元,3-4次,网红打卡点、周边乡村/古镇、自然风景,家人,1000元以上,住宿,提前1-2天,大众点评、B站,住宿选择困难、没有现成行程模板、缺少学生视角的预算参考、小众目的地信息太少,没有现成行程模板,偶尔使用,交通时间不准,当地美食红黑榜、实时避坑提醒、按预算推荐目的地和行程,其他,微信小程序,简洁高效(直接给结论),希望能有旅行vlog的模板,,274,2026-09-06 17:30:37
S107,大三,艺术类,1501-2000元,5-6次,自然风景、网红打卡点、周边乡村/古镇,朋友小团体(4人以上),200元以下,交通,提前3-7天,小红书,一人出行难拼车/找搭子、交通接驳信息不清晰、攻略信息太分散，多APP切换,攻略信息太分散，多APP切换,听说过但没用过,,住宿区域推荐、按预算推荐目的地和行程、出行搭子匹配,独家小众目的地攻略,网页版,图文精美,希望能和同校的人组队出行,,223,2026-09-07 12:32:50
S108,大四,医学类,2001-2500元,1-2次,自然风景、高校校园参观,家人,401-600元,餐饮,说走就走,小红书、微博,住宿选择困难、美食探店容易踩雷、小众目的地信息太少、交通接驳信息不清晰,没有现成行程模板,听说过但没用过,,现成学生党行程模板、按预算推荐目的地和行程、当地美食红黑榜,独家小众目的地攻略,微信小程序,简洁高效(直接给结论),,愿意-wx_kjf4aq7b,317,2026-09-06 18:03:49
S109,研一,艺术类,2001-2500元,3-4次,主题乐园、城市人文、美食探店,朋友小团体(4人以上),1000元以上,住宿,提前1-2周,抖音,攻略信息太分散，多APP切换、攻略质量参差不齐，广告多、缺少学生视角的预算参考,攻略质量参差不齐，广告多,完全没听说过,,其他、出行搭子匹配、旅行记账与AA分摊、按预算推荐目的地和行程、当地美食红黑榜,都不愿意付费,都可以,简洁高效(直接给结论),,,254,2026-09-06 15:58:50
S110,研二及以上,理工类,1501-2000元,1-2次,网红打卡点、自然风景、周边乡村/古镇,室友/同学(2-3人),200元以下,门票/体验项目,提前1-2天,小红书、其他,交通接驳信息不清晰、攻略质量参差不齐，广告多,没有现成行程模板,偶尔使用,不能按预算调整、操作太复杂,当地美食红黑榜、实时避坑提醒、住宿区域推荐、按预算推荐目的地和行程、小众目的地种草,AI高级行程定制,微信小程序,真实接地气(学长学姐经验),行李寄存的点能不能标注出来,,227,2026-09-04 13:26:24
S111,大三,理工类,1501-2000元,1-2次,主题乐园,朋友小团体(4人以上),601-800元,门票/体验项目,提前3-7天,微博、抖音、大众点评,小众目的地信息太少、攻略质量参差不齐，广告多、攻略信息太分散，多APP切换,缺少学生视角的预算参考,听说过但没用过,,小众目的地种草、交通接驳指南,独家小众目的地攻略,微信小程序,有趣好玩有梗,,,116,2026-09-05 19:56:58
S112,研二及以上,旅游/酒店管理类,2001-2500元,7次及以上,美食探店,朋友小团体(4人以上),201-400元,交通,提前1-2周,大众点评、小红书,攻略质量参差不齐，广告多、美食探店容易踩雷、住宿选择困难、攻略信息太分散，多APP切换,攻略信息太分散，多APP切换,听说过但没用过,,现成学生党行程模板、出行搭子匹配、行程共享与协同编辑,都不愿意付费,都可以,专业严谨数据详实,当地菜市场能不能推荐，想吃地道的,,98,2026-09-05 19:04:16
S113,大一,医学类,1501-2000元,1-2次,美食探店,室友/同学(2-3人),401-600元,交通,提前1-2天,抖音、大众点评,交通接驳信息不清晰、攻略信息太分散，多APP切换、没有现成行程模板、住宿选择困难,美食探店容易踩雷,偶尔使用,行程模板太少,现成学生党行程模板、小众目的地种草、当地美食红黑榜,都不愿意付费,小红书/抖音账号+社群,简洁高效(直接给结论),周末短途游的推荐能不能更精准一些,,235,2026-09-02 22:17:54
S114,大四,旅游/酒店管理类,1000-1500元,5-6次,城市人文,朋友小团体(4人以上),200元以下,餐饮,提前3-7天,小红书,交通接驳信息不清晰、攻略质量参差不齐，广告多、缺少学生视角的预算参考、美食探店容易踩雷、没有现成行程模板,小众目的地信息太少,经常使用,不能按预算调整、行程模板太少,出行搭子匹配、交通接驳指南,独家小众目的地攻略,独立APP,简洁高效(直接给结论),能不能有旅行照片的模板推荐,,224,2026-09-03 20:46:30
S115,研一,经管类,2001-2500元,1-2次,自然风景、城市人文,室友/同学(2-3人),1000元以上,住宿,提前3-7天,B站、小红书,攻略信息太分散，多APP切换、一人出行难拼车/找搭子、交通接驳信息不清晰、攻略质量参差不齐，广告多,交通接驳信息不清晰,听说过但没用过,,小众目的地种草、交通接驳指南,都不愿意付费,微信小程序,真实接地气(学长学姐经验),希望能和同校的人组队出行,,170,2026-09-06 16:50:30
S116,研一,经管类,2501-3000元,3-4次,城市人文,朋友小团体(4人以上),401-600元,交通,提前3-7天,朋友推荐、OTA平台(携程/马蜂窝)、抖音,小众目的地信息太少、没有现成行程模板、攻略质量参差不齐，广告多,攻略信息太分散，多APP切换,完全没听说过,,现成学生党行程模板、按预算推荐目的地和行程,都不愿意付费,微信小程序,简洁高效(直接给结论),希望能看到实时的景区人流量,愿意-wx_jg8vuazx,152,2026-09-02 12:28:38
S117,研二及以上,旅游/酒店管理类,1000-1500元,7次及以上,城市人文、美食探店、周边乡村/古镇,朋友小团体(4人以上),401-600元,交通,提前1-2周,大众点评、小红书,缺少学生视角的预算参考、攻略信息太分散，多APP切换、攻略质量参差不齐，广告多、住宿选择困难、没有现成行程模板,缺少学生视角的预算参考,经常使用,操作太复杂,行程共享与协同编辑、小众目的地种草,都不愿意付费,微信小程序,图文精美,,,278,2026-09-07 17:26:23
S118,研一,医学类,1501-2000元,7次及以上,周边乡村/古镇、自然风景,朋友小团体(4人以上),601-800元,门票/体验项目,提前1-2周,抖音,没有现成行程模板、攻略质量参差不齐，广告多、住宿选择困难,住宿选择困难,偶尔使用,操作太复杂,交通接驳指南、按预算推荐目的地和行程,无广告纯净体验,小红书/抖音账号+社群,图文精美,希望能有旅行vlog的模板,,107,2026-09-03 15:41:37
S119,大二,旅游/酒店管理类,1501-2000元,3-4次,其他、自然风景,室友/同学(2-3人),601-800元,餐饮,提前1-2天,大众点评、小红书、抖音,小众目的地信息太少、缺少学生视角的预算参考、攻略信息太分散，多APP切换、美食探店容易踩雷,攻略信息太分散，多APP切换,偶尔使用,推荐太商业化、操作太复杂、不能按预算调整,出行搭子匹配、交通接驳指南、当地美食红黑榜、按预算推荐目的地和行程,都不愿意付费,小红书/抖音账号+社群,有趣好玩有梗,希望能看到实时的景区人流量,,233,2026-09-07 10:04:16
S120,大二,经管类,1000元以下,1-2次,美食探店、主题乐园,朋友小团体(4人以上),401-600元,购物/伴手礼,提前1-2周,抖音、小红书、微博,攻略质量参差不齐，广告多、小众目的地信息太少、没有现成行程模板、交通接驳信息不清晰,没有现成行程模板,听说过但没用过,,现成学生党行程模板、按预算推荐目的地和行程、其他,都不愿意付费,微信小程序,简洁高效(直接给结论),,,268,2026-09-02 10:35:18
S121,大四,文史哲类,1501-2000元,3-4次,城市人文、高校校园参观,朋友小团体(4人以上),401-600元,交通,提前1-2天,小红书、抖音,住宿选择困难、一人出行难拼车/找搭子,住宿选择困难,完全没听说过,,当地美食红黑榜、旅行记账与AA分摊、交通接驳指南、出行搭子匹配,都不愿意付费,都可以,简洁高效(直接给结论),当地菜市场能不能推荐，想吃地道的,,300,2026-09-01 16:07:16
S122,大一,艺术类,3000元以上,5-6次,周边乡村/古镇,室友/同学(2-3人),601-800元,住宿,提前3-7天,小红书,攻略信息太分散，多APP切换、美食探店容易踩雷、没有现成行程模板、缺少学生视角的预算参考,住宿选择困难,偶尔使用,交通时间不准、推荐太商业化、不能按预算调整,现成学生党行程模板,独家小众目的地攻略,网页版,有趣好玩有梗,小众景点的交通真的很头疼,,107,2026-09-02 10:43:42
S123,大三,经管类,2501-3000元,7次及以上,自然风景,男/女朋友,1000元以上,餐饮,提前1-2天,其他,缺少学生视角的预算参考、小众目的地信息太少、攻略信息太分散，多APP切换、没有现成行程模板,缺少学生视角的预算参考,完全没听说过,,交通接驳指南、小众目的地种草,都不愿意付费,微信小程序,专业严谨数据详实,当地菜市场能不能推荐，想吃地道的,,82,2026-09-01 19:13:24
S124,大三,理工类,2001-2500元,1-2次,自然风景、高校校园参观,室友/同学(2-3人),201-400元,住宿,提前3-7天,抖音,攻略质量参差不齐，广告多、攻略信息太分散，多APP切换、没有现成行程模板,攻略质量参差不齐，广告多,偶尔使用,推荐太商业化、操作太复杂,小众目的地种草、按预算推荐目的地和行程,独家小众目的地攻略,都可以,图文精美,希望能有旅行vlog的模板,,156,2026-09-05 17:54:36
S125,大一,经管类,1000-1500元,1-2次,主题乐园、美食探店,室友/同学(2-3人),201-400元,住宿,提前3-7天,抖音,美食探店容易踩雷、一人出行难拼车/找搭子、攻略质量参差不齐，广告多、没有现成行程模板,没有现成行程模板,偶尔使用,行程模板太少、交通时间不准,住宿区域推荐、小众目的地种草、按预算推荐目的地和行程、交通接驳指南,其他,网页版,图文精美,,,236,2026-09-10 15:54:58
S126,大一,经管类,1000-1500元,1-2次,美食探店,室友/同学(2-3人),601-800元,门票/体验项目,提前2周以上,大众点评、知乎、抖音,住宿选择困难、攻略信息太分散，多APP切换、攻略质量参差不齐，广告多,攻略质量参差不齐，广告多,完全没听说过,,按预算推荐目的地和行程、现成学生党行程模板,无广告纯净体验,都可以,简洁高效(直接给结论),,愿意-wx_o1cjfx5l,143,2026-09-05 16:40:08
S127,大一,旅游/酒店管理类,1000元以下,5-6次,网红打卡点、主题乐园,男/女朋友,801-1000元,住宿,提前1-2天,大众点评、抖音,没有现成行程模板、交通接驳信息不清晰、缺少学生视角的预算参考,小众目的地信息太少,偶尔使用,行程模板太少、操作太复杂,按预算推荐目的地和行程、出行搭子匹配,都不愿意付费,微信小程序,简洁高效(直接给结论),,,205,2026-09-08 13:00:49
S128,大三,理工类,1000-1500元,0次,,,,,,,攻略质量参差不齐，广告多、美食探店容易踩雷、缺少学生视角的预算参考,交通接驳信息不清晰,完全没听说过,,按预算推荐目的地和行程、交通接驳指南、小众目的地种草、出行搭子匹配,都不愿意付费,小红书/抖音账号+社群,真实接地气(学长学姐经验),希望有雨天备选方案,,298,2026-09-02 11:08:18
